state 	region
7     	Northeast
8     	Northeast
19    	Northeast
20    	Northeast
21    	Northeast
29    	Northeast
30    	Northeast
32    	Northeast
38    	Northeast
39    	Northeast
45    	Northeast
48    	Northeast
1     	South
4     	South
9     	South
10    	South
17    	South
18    	South
24    	South
33    	South
36    	South
40    	South
42    	South
43    	South
46    	South
13    	Midwest
14    	Midwest
15    	Midwest
16    	Midwest
22    	Midwest
23    	Midwest
25    	Midwest
27    	Midwest
34    	Midwest
35    	Midwest
41    	Midwest
49    	Midwest
2     	West
3     	West
5     	West
6     	West
11    	West
12    	West
26    	West
28    	West
31    	West
37    	West
44    	West
47    	West
50    	West
